Name,Year Published,Play Time,Users Rated
Legendary: A Marvel Deck Building Game,2012,60,19785
Ra,1999,60,19097
Carcassonne,2000,45,101853
Zombicide: Black Plague,2015,180,12651
Kanban: Driver's Edition,2014,120,5727
Arcadia Quest,2014,60,9152
Goa,2004,90,10928
Horrified,2019,60,6442
The Princes of Florence,2000,100,14555
Cyclades,2009,90,17873
Secret Hitler,2016,45,18198
Cthulhu: Death May Die,2019,120,3990
Sushi Go Party!,2016,20,22327
Steam,2009,90,9567
YINSH,2003,60,7342
Viticulture,2013,90,10189
Galaxy Trucker,2007,60,29509
Deception: Murder in Hong Kong,2014,20,16001
Tyrants of the Underdark,2016,60,5083
Roll Player,2016,90,13286
Shogun,2006,120,12828
Isle of Skye: From Chieftain to King,2015,50,20425
1830: Railways & Robber Barons,1986,360,4694
Flamme Rouge,2016,45,12139
Century: Golem Edition,2017,45,6991
Hero Realms,2016,30,12203
Glory to Rome,2005,60,12968
Lewis & Clark: The Expedition,2013,120,12926
1960: The Making of the President,2007,120,8516
Power Grid Deluxe: Europe/North America,2014,120,3768
Hanamikoji,2013,15,11047
Bora Bora,2013,120,9107
Imperial,2006,180,8246
Dungeon Petz,2011,90,12707
Samurai,1998,60,14758
Space Base,2018,60,8388
Seasons,2012,60,20812
Imperial Settlers,2014,90,21089
Pulsar 2849,2017,90,6080
Dixit: Odyssey,2011,30,16717
Marco Polo II: In the Service of the Khan,2019,120,3040
Age of Empires III: The Age of Discovery,2007,120,9820
Kingdomino,2016,15,32277
Lords of Hellas,2018,90,5507
Space Alert,2008,30,14763
Modern Art,1992,45,16721
Fury of Dracula (Third/Fourth Edition),2015,180,11489
Glen More II: Chronicles,2019,120,3491
Dead of Winter: The Long Night,2016,120,7881
Battle Line,2000,30,15652
Summoner Wars: Master Set,2011,60,10358
Rococo,2013,120,7517
Exit: The Game - The Abandoned Cabin,2016,120,8821
Dominion (Second Edition),2016,30,4275
Navegador,2010,90,8022
Runewars,2010,240,7763
The Manhattan Project: Energy Empire,2016,120,4771
Tapestry,2019,120,11583
Alien Frontiers,2010,90,14150
Indonesia,2005,240,4034
Imperial 2030,2009,180,5728
Undaunted: Normandy,2019,60,4296
Burgle Bros.,2015,90,8409
Hannibal: Rome vs. Carthage,1996,200,4785
Concordia Venus,2018,120,2301
BattleLore (Second Edition),2013,90,5645
Vindication,2018,150,4583
Antiquity,2004,180,3833
Lost Ruins of Arnak,2020,120,2819
Western Legends,2018,90,6615
Cthulhu Wars,2015,120,4585
Hive,2000,20,29596
Onitama,2014,20,15161
Ethnos,2017,60,9741
Mage Wars Arena,2012,90,7379
Century: Spice Road,2017,45,18546
Aeon's End: Legacy,2019,90,2758
Above and Below,2015,90,12875
Nemo's War (Second Edition),2017,120,3425
Small World,2009,80,61747
Arboretum,2015,30,13125
Mysterium,2015,42,32087
Dungeon Lords,2009,90,12875
War Chest,2018,30,3869
