Name,Year Published,Play Time,Users Rated
Gold West,2015,60,2358
Werewords,2017,10,3500
History of the World,1991,270,4365
Smash Up: Pretty Pretty Smash Up,2015,45,3192
CO₂,2012,120,3699
The Speicherstadt,2010,45,4760
Battle for Rokugan,2017,90,2368
Automobiles,2016,75,2640
Thunderstone: Dragonspire,2011,45,2637
Qwirkle,2006,45,16117
Space Hulk (Fourth Edition),2014,60,1574
Mr. Jack Pocket,2010,15,7575
Star Trek: Frontiers,2016,240,1532
Parade,2007,45,5935
The Grimm Forest,2018,60,4393
Disney Villainous: Wicked to the Core,2019,60,2022
Black Rose Wars,2019,90,1578
Mint Works,2017,20,4926
BattleCON: War of Indines,2010,60,1768
Rex: Final Days of an Empire,2012,180,4226
Manila,2005,60,5498
Valley of the Kings,2014,45,4239
Cerebria: The Inside World,2018,120,1685
The Shipwreck Arcana,2017,30,2099
Railroad Revolution,2016,90,2415
Batman: Gotham City Chronicles,2019,90,2126
Wiz-War (Eighth Edition),2012,60,4645
Cottage Garden,2016,60,6992
Smash Up: Monster Smash,2014,45,2890
Bus,1999,120,2029
Tak,2017,60,2072
Black Fleet,2014,60,4929
Atlantis Rising (Second Edition),2019,120,1542
Menara,2018,60,2114
Sub Terra,2017,60,2946
Fields of Green,2016,45,3190
World's Fair 1893,2016,45,3182
SpaceCorp,2018,240,1712
Majesty: For the Realm,2017,40,5088
Stronghold,2009,120,3380
Jaws,2019,60,2892
Netrunner,1996,45,2328
Rivals for Catan,2010,120,5882
Islebound,2016,120,3112
Vinci,1999,90,3943
Tide of Iron,2007,120,3739
Fantastic Factories,2019,60,2080
A Study in Emerald,2013,90,3120
Wilderness War,2001,180,1686
Blitzkrieg!: World War Two in 20 Minutes,2019,45,1639
Nidavellir,2020,60,1434
Fleet: The Dice Game,2018,45,1532
Firenze,2010,60,2749
Nations: The Dice Game,2014,40,4905
Dice Hospital,2018,90,3095
Winner's Circle,2001,60,5054
Call to Adventure,2019,60,3281
The Big Book of Madness,2015,90,5646
Lovecraft Letter,2017,15,2974
Under Falling Skies,2020,40,1261
When I Dream,2016,40,4035
Condottiere,1995,45,8609
Via Nebula,2016,60,3841
Loony Quest,2015,30,5503
Istanbul: The Dice Game,2017,40,3167
Mr. Jack in New York,2009,30,2980
Blue Lagoon,2018,45,2955
Metropolys,2008,45,4007
Luxor,2018,45,2945
Tales & Games: The Hare & the Tortoise,2011,20,3646
Ticket to Ride: New York,2018,15,4523
Battles of Westeros,2010,120,2802
Axis & Allies Anniversary Edition,2008,360,2594
Battle Cry,1999,45,3422
Terror in Meeple City,2013,45,7130
China,2005,45,4338
Zendo,2001,60,2690
Q.E.,2019,45,1841
Shadowrun: Crossfire,2014,60,3374
Falling Sky: The Gallic Revolt Against Caesar,2016,360,1389
ICECOOL,2016,30,8195
Smash Up,2012,45,23609
A Distant Plain,2013,300,1431
Lowlands,2018,100,2048
NMBR 9,2017,20,5704
Dice Town,2009,45,6793
Massive Darkness,2017,120,3998
DinoGenics,2019,120,1586
Quartermaster General,2014,90,2380
Fauna,2008,60,4019
The Search for Planet X,2020,60,1068
Letter Jam,2019,45,2403
Container: 10th Anniversary Jumbo Edition!,2018,90,1495
Fog of Love,2017,120,5343
The Lord of the Rings,2000,90,14282
Empires of the Void II,2018,180,1837
Princes of the Renaissance,2003,180,2167
Eight-Minute Empire: Legends,2013,32,4547
Ikusa,1986,360,4894
Quarriors!,2011,30,13151
Yggdrasil,2011,90,3764
1812: The Invasion of Canada,2012,90,2214
Witness,2014,15,2401
Runebound: Second Edition,2005,240,7753
Honshū,2016,30,4317
Linko!,2014,20,4116
Diamonds: Second Edition,2014,30,4896
Wendake,2017,120,1758
1889: History of Shikoku Railways,2004,210,1147
Riverboat,2017,90,1861
Ambush!,1983,240,2184
Domaine,2003,60,4279
Love Letter,2019,20,1694
No Retreat! The Russian Front,2011,360,1473
Watson & Holmes,2015,75,2251
Warhammer Quest,1995,120,2373
Two Rooms and a Boom,2013,20,4297
Unmatched: Cobble & Fog,2020,40,938
Dream Home,2016,30,5534
Wildlands,2018,60,2441
Level 7 \91\Omega Protocol\93\,2013,90,1971
Sons of Anarchy: Men of Mayhem,2014,90,2567
Caylus Magna Carta,2007,75,4831
Legend of the Five Rings: The Card Game,2017,90,2199
Zombicide: Invader,2019,60,1507
Deep Space D-6,2015,30,2596
Unlock!: Escape Adventures - Squeek & Sausage,2017,75,2609
Disney Villainous: Evil Comes Prepared,2019,60,1666
Animal Upon Animal,2005,15,7126
Manoeuvre,2008,60,2332
Primordial Soup,1997,90,4547
Automania,2015,90,2171
Raccoon Tycoon,2018,90,2076
Hardback,2018,90,2224
Steam Park,2013,60,5506
Vikings Gone Wild,2017,90,3075
Power Grid: Factory Manager,2009,60,5800
Paper Tales,2017,30,3362
Kingsburg (Second Edition),2017,120,1827
Vanuatu,2011,90,2546
Whistle Stop,2017,75,2903
Loopin' Louie,1992,10,8400
Risk: Star Wars Edition,2015,45,3700
For the People,1998,360,1498
Fangs,2005,60,7993
Tsuro,2004,20,23341
Fortune and Glory: The Cliffhanger Game,2011,240,3533
Witch's Brew,2008,45,3656
Haggis,2010,45,3917
Herbaceous,2017,20,3396
Mottainai,2015,30,3491
Duelosaur Island,2018,45,2583
Imperial Struggle,2020,240,1002
Coconuts,2013,20,3712
Cat Lady,2017,30,3455
Pathfinder Adventure Card Game: Skull & Shackles - Base Set,2014,90,2413
Ninjato,2011,60,2606
The Magnificent,2019,90,1575
Ghost Fightin' Treasure Hunters,2013,30,2849
Yellow & Yangtze,2018,90,1266
Fleet,2012,45,4575
Plague Inc.: The Board Game,2017,60,2558
Blueprints,2013,30,6137
La Isla,2014,60,4957
Quarto,1991,20,5877
Hansa,2004,60,4939
Escape Room: The Game,2016,60,3236
Andean Abyss,2012,360,1648
Trains: Rising Sun,2014,45,1722
Peloponnes,2009,45,2741
Catan Card Game,1996,120,13018
Hamburgum,2007,75,3106
Archaeology: The New Expedition,2016,20,2804
Strasbourg,2011,60,2500
Coffee Roaster,2015,30,1586
The Prodigals Club,2015,100,2102
Chimera Station,2017,90,2140
Claustrophobia 1643,2019,90,1151
Hallertau,2020,140,979
Conflict of Heroes: Storms of Steel! - Kursk 1943,2009,120,1443
Three Kingdoms Redux,2014,165,1188
Carcassonne: South Seas,2013,35,3058
Fairy Tale,2004,30,8466
Legacy of Dragonholt,2017,999,2278
Dead Men Tell No Tales,2015,75,2986
Ultimate Werewolf: Ultimate Edition,2008,90,3772
The Reckoners,2018,100,1404
Merlin,2017,75,2836
Forum Trajanum,2018,120,2005
Planet Steam,2008,180,2744
Colossal Arena,1997,60,6970
Rise of Augustus,2013,30,7575
Machi Koro,2012,30,26236
Hacienda,2005,90,4034
Thunderbolt Apache Leader,2012,90,1120
GIPF,1996,60,2943
Fief: France 1429,2015,240,1988
Mission: Red Planet,2005,60,4117
Cleopatra and the Society of Architects,2006,60,6257
Keythedral,2002,90,2968
New York 1901,2015,60,5450
Agra,2017,120,1984
The Golden Ages,2014,90,2131
A Touch of Evil: The Supernatural Game,2008,120,4419
Reavers of Midgard,2019,120,1687
A Game of Thrones: The Card Game,2008,120,5986
Santiago de Cuba,2011,75,4232
Arkadia,2006,60,4095
Beyond the Sun,2020,120,979
Explorers of the North Sea,2016,60,2093
Liberty or Death: The American Insurrection,2016,360,1274
Java,2000,120,3333
